Contract Name,Parent Account,Contract Start,Contract End,Terms,Notes,Pricing Notice (days),Open Book,Rebate,Technology Fee,QA Fee,Misc Expense,Owner/Sales Rep
Cottage Inn Contract,Cottage Inn,9/1/2025,8/31/2026,Net 10,Cancelled convention '22. Didn't pay fee.,45,No,1,0,0,0,Todd Shaya
DePalo Foods Contract,DePalo Foods,1/1/2024,12/31/2024,Net 10,,30 - 45,No,0,0,0,0,Tad Lenahan
DiNapoli Contract,DiNapoli,2/1/2024,9/30/2024,,TIing may change depending on use of 2022 pack,330,no,,,,,Susan Zentmyer
DineBrands Contract,DineBrands,9/1/2025,8/31/2026,Net 10,"Havi Technology fee every year, QA Fee is for shipping samples.",60,Yes,0,2500,1000,0,Greg Thiel
Dominos Contract,Dominos,9/11/2023,9/10/2024,Net,,330,yes,0,0,,,Susan Zentmyer
Donatos Contract,Donatos,9/1/2025,8/31/2026,Net 10,Sometimes we need to support their charity,45,Yes,0,0,500,250,Todd Shaya
DPDough Contract,DPDough,9/1/2023,8/31/2024,Net 10,Rebate is part of Ross pricing. But is not added when submitting pricing to account. FOB pricing without rebate is $19.07,45,No,$2.00/$5.00,0,0,0,Kirk Curtiss
Fazoli's Contract,Fazoli's,9/1/2025,8/31/2026,Net 10,,45,No,0,0,".14/case twice/year = Est. $28,000",0,Amy Flora
Firehouse Contract,Firehouse,9/1/2023,8/31/2024,Net 10,"We may have to pay a booth fee this year, but will not know until about March. Rebate is part of Ross pricing, but is not added when submitting pricing to account. Since being purchased by RBI, they have added QA fees in '23.",45,No,0.23,0,3395,0,Todd Shaya Shaya
Forbes Foods Contract,Forbes Foods,1/1/2024,12/31/2024,Net 10,,30 - 45,No,0,0,0,0,Tad Lenahan
Fresh Slice Contract,Fresh Slice,9/1/2025,8/31/2026,,,30,No,0,0,0,0,Todd Shaya
Godfather's Contract,Godfather's,9/1/2023,8/31/2024,Net 10,"2023 will be 50th anny, and Paradise asked to provide $20,000. Normally, convention happens every two years at $10K",45,,GDFR1000: $0.35 GDFR1002: $0.62 GDFR1003: $0.62,0,0,0,Amy Flora
HEB Contract,HEB,9/1/2025,8/31/2026,Net 10,,45,No,0,0,0,0,Greg Thiel
HHOW1000 Contract,HHOW1000,9/1/2023,8/31/2024,Net 30,$100 charity fee for the pink banquet,45,no,1.2,0,0,100,Susan Zentmyer
HHOW1003 Contract,HHOW1003,9/1/2023,8/31/2024,Net 30,,45,no,0.74,0,0,0,Susan Zentmyer
Hometown Contract,Hometown,9/1/2025,8/31/2026,Net 10,,45,No,0,,,,Todd Shaya
Incredible Pizza Contract,Incredible Pizza,9/1/2025,8/31/2026,Net 10,,45,No,0,0,0,0,Greg Thiel
Jason's Deli Contract,Jason's Deli,9/1/2025,8/31/2026,Net 30,,45,No,0,0,0,0,Greg Thiel
JM Swank Contract,JM Swank,1/1/2024,12/31/2024,Net 30,,30 - 45,No,0,0,0,0,Tad Lenahan
Johnny's Pizza Contract,Johnny's Pizza,9/1/2025,8/31/2026,Net 10,,45,No,0,0,0,0,Greg Thiel
Ken's Foods Contract,Ken's Foods,1/1/2024,12/31/2024,Net 30 / Rail is Net 15 from Delivery,We support Ken's charity - The Hole in the Wall Gang Camp,30 - 45,No,0,0,0,3500,Tad Lenahan
Koch Foods Contract,Koch Foods,1/1/2024,12/31/2024,Net 10,,30 - 45,No,0,0,0,0,Tad Lenahan
Kum & Go Contract,Kum & Go,9/1/2025,8/31/2026,Net 10,,60,No,0,0,0,0,Greg Thiel
La Rosa's Contract,La Rosa's,9/1/2025,8/31/2026,Net 10,,45,No,0,0,0,0,Greg Thiel
LCE/Blue Line Contract,LCE/Blue Line,9/1/2024,8/31/2025,Net 30,"Platnum sponsorship level: $20K fee is covered in the $0.07/cs. rebate. Freeman set up, handling, shipping, carpeting, etc. for Convention in Misc..",90,Yes,0.07,0,0,10000,Amy Flora
Pizza Hut Contract,Pizza Hut,10/1/2025,9/30/2026,Net 10,Spring Business Conference,30,No,0,0,0,2000,Kevin Crooks
Marco's Contract,Marco's,7/1/2025,6/30/2026,Net 10,"$6,500 sponsorship every other yr. Rebate is .30 for Trademark Fee & .25 General Convention Support / Convention Sept. of 2025 budget for 1 month prior for payment [Rebate of $.55 is in Sales budget not Finance]",45,Yes,0.55,0,0,0,Todd Shaya
Maverik Contract,Maverik,9/1/2025,8/31/2026,Net 10,,45,No,0,0,0,0,Greg Thiel
Maxi Canada Contract,Maxi Canada,1/1/2024,12/31/2024,Net 15,,30 - 45,No,0,0,0,0,Tad Lenahan
Mazzio's Contract,Mazzio's,9/1/2025,8/31/2026,Net 10,,45,No,0,0,0,0,Greg Thiel
McLane Dist. Contract,McLane Dist.,9/18/2026,9/18/2026,,Charity Golf Tournament,,No,0,0,0,2000,Kevin Crooks
MOD Pizza Contract,MOD Pizza,10/1/2025,9/30/2026,Net 10,MODS1004,45,Yes,0,0,0,0,Kevin Crooks
Mr. Jim's Contract,Mr. Jim's,9/1/2025,8/31/2026,Net 10,,45,No,0,0,0,0,Greg Thiel
Mr. Gatti's Contract,Mr. Gatti's,9/1/2025,8/30/2026,Net 10,ISF Product made at Liberty; Red Film,30,no,2.6,0,0,0,Kevin Crooks
Mullins / Newly Weds Contract,Mullins / Newly Weds,1/1/2024,12/31/2024,Net 30,,30 - 45,No,0,0,0,0,Tad Lenahan
Ohly Americas Contract,Ohly Americas,1/1/2024,12/31/2024,Net 10,,30 - 45,No,0,0,0,0,Tad Lenahan
OLGN1000 Contract,OLGN1000,11/1/2025,10/31/2026,Net 30,,330,Yes,0,0,0,0,Todd Shaya
OLGN1001(meat) Contract,OLGN1001(meat),11/1/2025,10/31/2026,Net 30,,330,Yes,0,0,0,0,Todd Shaya
OLGN1003(Mash) Contract,OLGN1003(Mash),11/1/2025,10/31/2026,,,330,Yes,0,,,,Todd Shaya
OLGN1004(diced) Contract,OLGN1004(diced),11/1/2025,10/31/2026,,,330,Yes,0,0,0,0,Todd Shaya
Ott Food Products Contract,Ott Food Products,1/1/2024,12/31/2024,Net 10,,30 - 45,No,0,0,0,0,Tad Lenahan
Papa Johns Contract,Papa Johns,9/1/2025,8/31/2026,Net 30,PJ Convention held every other year. Increase to $90K based on new volume contract; Shipping of cases post ISF production is the QA fee.,45,Yes,0,0,8000,-,Kevin Crooks
Perdue Foods Contract,Perdue Foods,1/1/2024,12/31/2024,1% 10 / Net 30,,30 - 45,No,0,0,0,0,Tad Lenahan
Perky's Contract,Perky's,9/1/2023,8/31/2024,Net 10,$12.00 rebate is not a typo :),45,,12,0,0,0,Kirk Curtiss
Pizza Guy Contract,Pizza Guy,9/1/2025,8/31/2026,Net 10,,45,No,2,,,,Todd Shaya
Pizza Hut Contract,Pizza Hut,10/1/2025,9/30/2026,Net 10,"Tech Fee for YUM/RSCS. This is a portion of the $90K. We are billed for QA Audits, but I don't know how much. I'll see if I can find out these total; Support annual Conference with joint happy hour with other suppliers. Spring & Fall; Tech Fee portion of YUM",45,Yes,0,70000,8000,0,Kevin Crooks
Pizza Plus Contract,Pizza Plus,9/1/2023,8/31/2024,Net 10,,45,,0,0,0,0,Todd Shaya Shaya
Qdoba Contract,Qdoba,9/1/2025,8/31/2026,Net 10,,45,No,0,0,Micro Testing,0,Greg Thiel
QuickChek Contract,QuickChek,9/1/2025,8/31/2026,Net 10,,45,No,0,0,0,0,Greg Thiel
Quik Trip Contract,Quik Trip,9/1/2025,8/31/2026,Net 20,Culinary Ideations,45,No,0,0,0,0,Greg Thiel
Ready Foods Contract,Ready Foods,9/1/2025,8/31/2026,Net 10,,45,No,0,0,0,0,Greg Thiel
Red Gold Contract,Red Gold,9/1/2025,8/31/2026,Net 10,,45,No,0,,,,Todd Shaya
Red Swan Contract,Red Swan,9/1/2025,8/31/2026,,QA estimate,45,No,0,,5000,,Todd Shaya
Sals NZ Contract,Sals NZ,9/1/2023,8/31/2024,Net 30,,45,no,0,,,,Todd Shaya Shaya
Sam's Club Contract,Sam's Club,9/1/2023,8/31/2024,Net 30,,60,Yes,0,0,0,0,Greg Thiel
Simple Simon's Contract,Simple Simon's,9/1/2025,8/31/2026,Net 14,,45,No,1.5,0,0,0,Greg Thiel
T. Marzetti Contract,T. Marzetti,1/1/2024,12/31/2024,Net 15,,30 - 45,No,0,0,0,0,Tad Lenahan
Taco Bell Contract,Taco Bell,10/1/2024,9/30/2025,Net 10,"For tech fee, I tried to show what percentage TB wold be and put the balance on PH. Total annually is $90K; For QA Fee, this is added to cost bar today. It's $0.013/case / $810 is for a Nutritional Analysis Fee from TB [not sure how often this is billed Quarterly or Annually] - QA Cuttings quarterly cost about $5k per quarter",45,Yes,0,20000,8000,810,Kirk Curtiss Curtiss
Thorntons Contract,Thorntons,9/1/2023,8/31/2024,Net 30,,60,Yes,0,,,,Kirk Curtiss
Tim Horton's Contract,Tim Horton's,10/1/2025,9/30/2026,Net 60,Convention every other year. Next one is 2026.,45,No,0,0,5500,0,Todd Shaya
Toppers Contract,Toppers,9/1/2023,8/31/2024,Net 10,Rebate is part of Ross pricing. But is not added when submitting pricing to account. FOB price without rebate is $18.74.,45,No,1.75,0,0,0,Todd Shaya Shaya
Wawa Contract,Wawa,9/1/2025,8/31/2027,Net 30,Rebate changes based on volume throughout two year contract,45,Yes,$1 - $1.45,200,0,0,Greg Thiel
